Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1772968481,20,,Aggregated,55.600000,54.200000,19,31,48,65,150,270,480,530,3100,5500,5500,1552,1517,19,64.52404890452394,4.8540999996475875,5513.353899994399,771.3286082474227
1772968482,20,,Aggregated,55.200000,53.900000,20,33,51,68,150,260,480,530,3100,5500,5500,1597,1562,20,64.8446664994926,4.8540999996475875,5513.353899994399,756.5522855353788
1772968483,20,,Aggregated,54.100000,52.800000,21,35,57,77,160,320,480,530,3100,5500,5500,1638,1602,21,69.58911361395818,4.8540999996475875,5513.353899994399,765.4652014652015
1772968484,20,,Aggregated,53.700000,52.500000,21,37,59,83,170,310,480,530,3100,5500,5500,1695,1658,21,70.90596023572343,4.8540999996475875,5513.353899994399,748.024778761062
1772968486,20,,Aggregated,50.600000,49.600000,22,37,59,82,170,290,480,520,3100,5500,5500,1743,1706,22,70.47102782534736,4.8540999996475875,5513.353899994399,734.2306368330464
1772968487,20,,Aggregated,47.400000,46.400000,22,40,62,88,170,290,480,520,3100,5500,5500,1799,1762,22,71.75868015543567,4.8540999996475875,5513.353899994399,719.0605892162313
1772968488,20,,Aggregated,48.100000,47.200000,23,41,66,93,180,300,470,520,3100,5500,5500,1845,1806,23,73.12085354993458,4.8540999996475875,5513.353899994399,726.528997289973
1772968489,20,,Aggregated,47.800000,47.100000,23,42,66,93,180,300,470,520,3100,5500,5500,1904,1863,23,72.76921796193248,4.8540999996475875,5513.353899994399,711.6586134453781
1772968490,20,,Aggregated,47.200000,46.500000,23,43,69,97,180,300,470,520,3100,5500,5500,1956,1914,23,73.09342019408068,4.8540999996475875,5513.353899994399,699.3026584867075
1772968491,20,,Aggregated,48.500000,47.800000,24,44,75,100,180,310,470,520,3100,5500,5500,1992,1947,24,74.87931049176238,4.8540999996475875,5513.353899994399,726.7650602409639
1772968492,20,,Aggregated,48.400000,47.700000,24,46,76,110,190,310,470,520,2900,5500,5500,2042,1997,24,75.42305342784314,4.8540999996475875,5513.353899994399,715.0205680705191
